split_strategy,threshold_type,threshold,pr_auc,roc_auc,precision,recall,f1,cost,fp,fn,tp,tn,n_samples,positive_support
random_stage3,default_0_5,0.5,0.6306521929861992,0.9181314509828112,0.8726790450928382,0.3916666666666666,0.5406737880032868,5158,48,511,329,23112,24000,840
random_stage3,cost_sensitive,0.07,0.6306521929861992,0.9181314509828112,0.3696568332329922,0.7309523809523809,0.4910035985605758,3307,1047,226,614,22113,24000,840
time_split,default_0_5,0.5,0.4904903247851724,0.8872796774075832,0.7719298245614035,0.32273838630806845,0.45517241379310347,5618,78,554,264,23104,24000,818
time_split,cost_sensitive,0.06,0.4904903247851724,0.8872796774075832,0.2850293020777837,0.6540342298288508,0.3970315398886827,4172,1342,283,535,21840,24000,818
