split_strategy,feature_set,model,fallback_reason,n_features,pr_auc,roc_auc,precision,recall,f1,mcc,accuracy,tn,fp,fn,tp,train_time_min,train_time_max,valid_time_min,valid_time_max,test_time_min,test_time_max
time,baseline_basic,lightgbm,,52,0.5433962781302327,0.9009158558282214,0.8707865168539326,0.3249475890985325,0.4732824427480916,0.5219439968654158,0.97125,23000,46,644,310,86499,8724304,8724330,12234209,12234253,15811047
time,optimized_domain_uid,lightgbm,,126,0.5363031227705382,0.8905965072862205,0.8731988472622478,0.31761006289308175,0.4657955418908532,0.5167016487463025,0.9710416666666667,23002,44,651,303,86499,8724304,8724330,12234209,12234253,15811047
